fname,summary
test_0,  사내 메시지    
test_1,  출퇴근 교통체증 
test_2,  이혼 소식    
test_3,  생일 파티    
test_4,  올림픽 공원디움   
test_5,  사업 계획    
test_6,  수두에 증상  
test_7,  호텔 체크아웃   
test_8,  이혼     
test_9,  인품 평가   
test_10,  황사 영향   
test_11,  생일 파티    
test_12,  부정행위    
test_13,  약속 시간    
test_14,  삶의 조언    
test_15,  파티 초대    
test_16,  친구의    
test_17,  가족 관계    
test_18,  학교 결석   
test_19,  휴대폰 구매    
test_20,  직장 지원    
test_21,  취업 면접    
test_22,  음식 주문    
test_23,  노벨상 수상 소식  
test_24,  취업 면접    
test_25,  음주 습관    
test_26,  소풍 준비   
test_27,  새 계과의 만남  
test_28,  돈 찾기출금  
test_29,  직장 동료 대화 전략  
test_30,  음료수 구매   
test_31,  재무 보고서 검토   
test_32,  인터뷰 준비     
test_33,  감정 표현     
test_34,  주말 쇼핑 방문    
test_35,  직장 내     
test_36,  평화로운 시위 계획   
test_37,  잘못된 사람     
test_38,  수업 노트 노트 대여   
test_39,  지질학 과목 등록  
test_40,  펜던트 교환   
test_41,  박싱 데이 세일   
test_42,  직업 선택     
test_43,  지루한 연설    
test_44,  이사 계획     
test_45,  정보 담당관 인터뷰   
test_46,  좋아하는 과목 과목    
test_47,  집안일     
test_48,  겨울 날씨     
test_49,  배우의 갈등    
test_50,  택시 이용     
test_51,  버스 환 요청    
test_52,  길 묻     
test_53,  전근 신청    
test_54,  페인트 구매    
test_55,  길 안내     
test_56,  여권 분실    
test_57,  전화 통화 요청    
test_58,  Dick의 결혼 거절 
test_59,  파티에서의     
test_60,  수업 평가     
test_61,  베이징의 날씨    
test_62,  영화 관람 계획    
test_63,  학교 안내     
test_64,  임신 소식 소식   
test_65,  연애 소문    
test_66,  시스템 업그레이드    
test_67,  중국 출장 경험   
test_68,  체중 감량  
test_69,  레스토랑 예약    
test_70,  액세서 공장   
test_71,  첫 직장 경험   
test_72,  조별 발표    
test_73,  인터넷 구직직 지원  
test_74,  쇼핑 예산 예산   
test_75,  버스 이용    
test_76,  스프레드시트 설명 
test_77,  뉴욕에서의 안내 서비스  
test_78,  회사 정보    
test_79,  계약서    
test_80,  국경 근처 교통 사고  
test_81,  길 안내    
test_82,  호텔 방 변경 요청  
test_83,  연회 초대   
test_84,  길 안내    
test_85,  컴퓨터 문제 해결   
test_86,  어머니 생신 선물  
test_87,  발표 일정    
test_88,  문화 차이 차이   
test_89,  휴가 계획    
test_90,  소풍 준비   
test_91,  차량 렌트   
test_92,  무표정한 사람들  
test_93,  판매 실적    
test_94,  가방 분실  
test_95,  문명 시스템   
test_96,  친구와의 이사   
test_97,  호텔 체크 결제   
test_98,  전화 연결 요청   
test_99,  옛 친구과의 만남  
test_100,  대통령 선거    
test_101,  ATM 사용 방법 
test_102,  사무실 절차 메모   
test_103,  소풍 준비   
test_104,  중국 연 예절  
test_105,  영화 관람    
test_106,  정치 정당 가입 논의  
test_107,  상품 문제 사과   
test_108,  강도 사건    
test_109,  저녁 식사    
test_110,  다이어트와 결심   
test_111,  수업 등록    
test_112,  우산을 길 안내  
test_113,  자동차 구매    
test_114,  큰불 발생 시간  
test_115,  음식 주문 서비스   
test_116,  차량 세차   
test_117,  휴가 계획    
test_118,  웨이트 사용법  
test_119,  구직 활동    
test_120,  수의사 예약   
test_121,  빌린 요청   
test_122,  사회 활동 경험   
test_123,  연락처    
test_124,  중국 음식 추천   
test_125,  결혼식 초대    
test_126,  디저트 선택  
test_127,  취업 면접    
test_128,  선물 구매   
test_129,  운동화 구매  
test_130,  길 묻기  
test_131,  은퇴 제도   
test_132,  여자에   
test_133,  폭설 피해  
test_134,  TV 시청   
test_135,  새 학교 적응  
test_136,  경기 영상   
test_137,  프린트 부탁  
test_138,  커튼 설치 요청 
test_139,  달력 확인  
test_140,  임신 소식   
test_141,  대학 결정 결정 조언 
test_142,  일자리 문제   
test_143,  실험실 강연  
test_144,  감기   
test_145,  호텔 예약   
test_146,  원룸 추천  
test_147,  잘못된 길   
test_148,  컴퓨터 주문 지연  
test_149,  워싱턴 포스트 신문  
test_150,  이메일 문제 해결 
test_151,  주말 초대   
test_152,  음식 선택   
test_153,  영업직 제안  
test_154,  전화번호 확인  
test_155,  음악 교사 면접 
test_156,  솔로와의   
test_157,  서부 해안 스타일  
test_158,  법률 사무소 개설 
test_159,  네트워크 게임   
test_160,  교통수단의 중요성 
test_161,  악몽의 경험  
test_162,  밴드 결성    
test_163,  여행 계획    
test_164,  신용카드 결제    
test_165,  교육 매뉴얼 전달  
test_166,  휴가 계획    
test_167,  비행기 재촉  
test_168,  길 묻 요청   
test_169,  종교 순 순례  
test_170,  길 안내    
test_171,  런던 여행 계획   
test_172,  패스트푸드 문화  
test_173,  음식 주문    
test_174,  음식 주문    
test_175,  반숙 계란  
test_176,  길 묻기   
test_177,  사진 촬영    
test_178,  호텔 예약    
test_179,  비자 신청 절차  
test_180,  술자리    
test_181,  인터넷 쇼핑    
test_182,  회계 프로세    
test_183,  여름 휴가 계획   
test_184,  영화 대여    
test_185,  소포 전달   
test_186,  공항 호텔실 예약  
test_187,  음식값    
test_188,  불면증 상담  
test_189,  주방 확 변경  
test_190,  새 선생님 추천   
test_191,  검사 결과 예약   
test_192,  시험 준비    
